"job_link","job_skills","job_link (Right)","last_processed_time","got_summary","got_ner","is_being_worked","job_title","company","job_location","first_seen","search_city","search_country","search_position","job_level","job_type"
"https://www.linkedin.com/jobs/view/operations-control-consultant-senior-flex-at-allianz-life-3785769429","Quality Assurance, Compliance, Risk Management, Financial Controls, Operational Controls, Process Improvement, Risk Mitigation, Business Analysis, Data Analysis, Communication, Problem Solving, Team Leadership, Project Management, Analytical Skills, ProblemSolving Skills, Communication Skills, Leadership Skills, Team Building Skills, Presentation Skills, Business Knowledge, Industry Knowledge, Attention to Detail, Organizational Skills, Time Management Skills","https://www.linkedin.com/jobs/view/operations-control-consultant-senior-flex-at-allianz-life-3785769429","2024-01-20 10:41:41.009887+00","t","t","f","Operations Control Consultant/Senior | Flex","Allianz Life","Minneapolis, MN","2024-01-14","Orono","United States","Quality Assurance Analyst","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/public-sector-sales-engineer-global-salesforce-at-slalom-3788406592","Salesforce, Public Sector Solutions, Presales, Technical / Functional Expertise, Salesforce Presentations, Demonstrations, Implementation Projects, Business Development, Thought Leadership, Partner Enablement, Pursuit Lifecycle, Project Work, Billable Capacity, Advanced Level Demonstrations, Use Cases, RFx Requirements, Client Discoveries, Industry Trends, Discovery Sessions, Business Challenges, Future Objectives, Product Features, Benefits, Training, Mentorship, RFx Solution Content, GTM Strategies, Business Analysis, Needs Assessments, App Configuration, Bachelor’s Degree, Writing, Editing, Formatting, Organization, Time Management, Leadership Abilities, People Skills, Prioritization, Multitasking","https://www.linkedin.com/jobs/view/public-sector-sales-engineer-global-salesforce-at-slalom-3788406592","2024-01-21 07:42:02.197478+00","t","t","f","Public Sector, Sales Engineer - Global Salesforce","Slalom","Miami, FL","2024-01-14","Coral Gables","United States","Commercial Engineer","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/district-manager-sacramento-at-old-navy-3782145019","Retail, Fashion, Merchandising, Profitability, Sales, Leadership, Business Analysis, Talent Management, Customer Segmentation, Collaboration, Strategy Execution, Problem Solving, Data Analysis, Communication","https://www.linkedin.com/jobs/view/district-manager-sacramento-at-old-navy-3782145019","2024-01-21 07:42:00.587447+00","t","t","f","District Manager - Sacramento","Old Navy","Sacramento, CA","2024-01-14","Davis","United States","Supervisor","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/programmer-analyst-iii-senior-at-robert-half-3783983191","Java, Spring Boot, Cloud, Container, CICD, System Design, Business Analysis, Data Storage, Data Mapping, NOSQL, RDMS, Flat File, API Design, Logging, Supportability, Server Architecture, Table Layouts, Kafka, DevOps, Agile, Continuous Delivery, Continuous Integration, Automated Testing, Unit Testing, Integration Development, Computer Science, MIS, Customer Service, Planning, Quality, Database, SQL, Cloud Technologies, Collaboration, Leadership Skills, Production, Implementation, Engineering, Storage, Sprint Framework, REST API, Methodology, Framework","https://www.linkedin.com/jobs/view/programmer-analyst-iii-senior-at-robert-half-3783983191","2024-01-20 23:49:57.023899+00","t","t","f","Programmer/Analyst: III (Senior)","Robert Half","Columbus, OH","2024-01-14","Genoa","United States","Programmer-Analyst","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/principal-engineer-business-process-at-asm-3762331214","Process Optimization, Business Analysis, Process Engineering, Continuous Improvement, DataDriven Decision Making, Six Sigma, Lean Manufacturing, Process Mapping, BPMN Modeling, Root Cause Analysis, Analytical Thinking, ProblemSolving, Adaptability, Communication Skills, Influencing Skills, Collaboration Skills, Project Management, Change Management, Industry Trends, emerging Technologies","https://www.linkedin.com/jobs/view/principal-engineer-business-process-at-asm-3762331214","2024-01-21 07:41:37.706182+00","t","t","f","Principal Engineer, Business Process","ASM","Phoenix, AZ","2024-01-12","Glendale","United States","Chemical Engineer","Associate","Onsite"
"https://www.linkedin.com/jobs/view/lead-oracle-applications-engineer-scm-p2p-at-fanatics-3728954626","Oracle SCM Cloud, Oracle Fusion SCM, Oracle Fusion Financials, Application design, Testing, Supply chain management, Wholesale management, Apparel industry experience, Business analysis, Integration technology (EAI), Oracle PaaS, SOAP Web Services, REST APIs, Fusion Cloud BIP, OTBI reports, RTF templates, Fusion's schema, SQL queries, BI Publisher, FBDI, ADFdi, ESS Jobs, Oracle Cloud personalization, OTBI using subject area, Oracle Cloud personalization, Data analysis, Troubleshooting, Process optimization, Communication, Teamwork, Extensibility, Security, Migrations, OIC integration, SQL, Cloudnative tools","https://www.linkedin.com/jobs/view/lead-oracle-applications-engineer-scm-p2p-at-fanatics-3728954626","2024-01-19 13:50:05.726952+00","t","t","f","Lead Oracle Applications Engineer (SCM, P2P)","Fanatics","Tampa, FL","2024-01-15","Odessa","United States","Chief Computer Programmer","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/front-desk-manager-at-gold-s-gym-socal-group-3678823513","Leadership, Management, Customer service, Communication, Problemsolving, Team building, Motivational skills, Delegation, Organization, Planning, Business analysis, Interpersonal skills, Analytical skills, Listening skills, CPR certification, Physical fitness, College degree (preferred)","https://www.linkedin.com/jobs/view/front-desk-manager-at-gold-s-gym-socal-group-3678823513","2024-01-20 05:04:02.527663+00","t","t","f","Front Desk Manager","Gold's Gym SoCal Group","Garden Grove, CA","2024-01-14","Orange","United States","Supervisor Cleaning","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/business-analyst-mobile-network-background-at-futran-solutions-3793656772","Business analysis, Business requirements, Software requirements, Account management, Project delivery, Client communication, Client satisfaction, Presentation skills, Proposal writing, Statement of work, Business requirements gathering, Business process improvement, Systems analysis, Project management, Project planning, Project scheduling, Project tracking, Project deliverables, Project test strategy, Project test methodology, Project test planning","https://www.linkedin.com/jobs/view/business-analyst-mobile-network-background-at-futran-solutions-3793656772","2024-01-20 05:04:17.567348+00","t","t","f","Business Analyst - Mobile Network Background","Futran Solutions","Denver, CO","2024-01-16","Aurora","United States","Instructor Business Education","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/community-ambassador-at-flik-hospitality-group-3760339238","Microsoft Word, Microsoft Excel, Bachelor's Degree, Business Analysis, Data Analysis, Customer Service, Problem Solving, Communication, Negotiation, Analytical Thinking, Decision Making, Interpersonal Skills","https://www.linkedin.com/jobs/view/community-ambassador-at-flik-hospitality-group-3760339238","2024-01-21 07:18:54.576849+00","t","t","f","COMMUNITY AMBASSADOR","Flik Hospitality Group","Menlo Park, CA","2024-01-16","Redwood City","United States","Goodwill Ambassador","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/sr-manager-it-at-exelon-3785616604","Software Development, IT Leadership, Technical Management, Problem Solving, Team Leadership, Business Applications, Project Management, Budget Management, Team Collaboration, Negotiation Skills, Presentation Skills, Complex Technical Information, Process Improvement, Standard Management Model, HandsOn Experience, Business Processes, Change Management, Strategy Planning, Technical Discipline, Consultative Skills, Communication Skills, Team Facilitation, Customer Engagement, Software Engineering, Systems Analysis, Data Management, IT Vendor Management, IT Contracts Management, Agile Development, Cloud Computing, Business Analysis, Quality Assurance, Risk Management","https://www.linkedin.com/jobs/view/sr-manager-it-at-exelon-3785616604","2024-01-21 08:10:01.432329+00","t","t","f","Sr Manager IT","Exelon","Washington, DC","2024-01-14","Sterling","United States","Director Technical","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/it-business-services-systems-analyst-remote-at-berkshire-farm-center-and-services-for-youth-3787967252","Business Analysis, Business Intelligence, Netsmart MyEVOLV, Microsoft 365, PowerBI, SQL, HIPAA, NIST, Cybersecurity, Technical Documentation, Report Writing, Systems Analysis, Process Improvement, Netsmart, Microsoft PowerBI, Project Management, Business Process Improvement, Healthcare, Client Services, Vendor Management, Technical Solutions, Test Case Writing, Troubleshooting, Optimization, DataDriven Decision Making, Communication Skills, Analytical ProblemSolving, Clinical Work, Healthcare Delivery, Business Requirements Documents, Technical Specifications, Bachelor's Degree, Business Analyst, Certified Business Analysis Professional (CBAP), PMI Professional in Business Analysis (PMIPBA), Project Management Professional (PMP)","https://www.linkedin.com/jobs/view/it-business-services-systems-analyst-remote-at-berkshire-farm-center-and-services-for-youth-3787967252","2024-01-21 08:06:28.863977+00","t","t","f","IT Business Services Systems Analyst (Remote)","Berkshire Farm Center and Services for Youth","Canaan, NY","2024-01-14","Hudson","United States","Economist","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/business-strategy-specialist-at-ussa-international-llc-3800955927","Business Strategy, Financial Modeling, Market Research, Competitive Analysis, Strategic Planning, Business Analysis, Project Management, Stakeholder Management, Problem Solving, Team work, Communication, Analytical Skills, Decision Making, Microsoft Office, Project Management Tools, Bachelor's Degree, Experience in Strategy Consulting, Experience in Investment Banking, Experience in Corporate Strategy, Experience in Financial Modeling, Experience in Market Research","https://www.linkedin.com/jobs/view/business-strategy-specialist-at-ussa-international-llc-3800955927","2024-01-19 21:31:50.085192+00","t","t","f","Business Strategy Specialist","USSA INTERNATIONAL LLC","New York, NY","2024-01-14","Little Falls","United States","Model","Associate","Onsite"
"https://www.linkedin.com/jobs/view/group-product-manager-seller-tools-experience-remote-at-michaels-stores-3675795585","Product Management, Digital Experience, New Feature Development, Technical Product Management, Microservices, Online Technologies, User Interface Design, Desktop Technologies, Mobile Technologies, App Technologies, Microsoft Suite, eCommerce, Content Management Systems, Infrastructure, Product Roadmapping, Product Strategy, Stakeholder Management, Crossfunctional Collaboration, Business Analysis, Requirements Gathering, Test Planning, Quality Assurance, User Experience, Customer Journey Mapping, User Flow, Rapid Prototyping, Agile Development, Data Analysis, Decision Making, Prioritization, Project Management, Communication, Interpersonal Skills, Teamwork, Startup Environment, Sketch, InVision, Figma, Atlassian Tools, Miro","https://www.linkedin.com/jobs/view/group-product-manager-seller-tools-experience-remote-at-michaels-stores-3675795585","2024-01-19 14:41:21.554722+00","t","t","f","Group Product Manager - Seller Tools & Experience (Remote)","Michaels Stores","Irving, TX","2024-01-14","Corinth","United States","Supervisor Shop","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/program-manager-at-amphenol-rf-3798811427","Program Management, Business Strategy, Sales Forecasting, Contract Negotiation, Customer Relationship Management, CrossFunctional Collaboration, Value Engineering, Cost Reduction, Business Analysis, Project Management, Product Development, Engineering, Manufacturing, Distribution, Inventory Management, Quality Assurance, Continuous Improvement, Problem Solving, Communication, Leadership, Teamwork, Bachelor's Degree in Business or Engineering","https://www.linkedin.com/jobs/view/program-manager-at-amphenol-rf-3798811427","2024-01-19 21:39:00.421044+00","t","t","f","Program Manager","Amphenol RF","Danbury, CT","2024-01-14","Connecticut","United States","Program Coordinator","Associate","Onsite"
"https://www.linkedin.com/jobs/view/business-analyst-consultant-at-jobs-for-humanity-3805386745","Python, SQL, Excel, PowerPoint, Jira, Tableau, MicroStrategy, Alteryx, Agile, Business analysis, Business intelligence, Data analysis, Data governance, Data modeling, Data visualization, ELT, Problemsolving, Communication, Stakeholder management, Project management, IIBA, CBAP","https://www.linkedin.com/jobs/view/business-analyst-consultant-at-jobs-for-humanity-3805386745","2024-01-19 22:20:02.392501+00","t","t","f","Business Analyst Consultant","Jobs for Humanity","Boston, MA","2024-01-16","Boston","United States","Instructor Business Education","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/it-business-systems-analyst-at-novelis-3789330583","Business Systems Analyst, Business analysis, BRD, FRD, E2E implementation, ERP, SAP, Data analytics, Power BI, Power Apps, Business Warehouse software, Lean, Six Sigma, Kaizen, Value Stream Mapping, DMAIC, ASCM(APICS) certification, Medical dental and vision insurance, Health savings accounts, Flexible Spending Account (FSA), Companypaid basic life insurance and Additional voluntary life coverage, Paid vacation and competitive personal time off, 401(k) savings plan with company match, Retiree Medical Plans, Retirement Savings Account, Employee assistance programs, Wellness and Work Life Support, Career development and educational assistance, Equal employment opportunities","https://www.linkedin.com/jobs/view/it-business-systems-analyst-at-novelis-3789330583","2024-01-20 06:09:19.418363+00","t","t","f","IT Business Systems Analyst","Novelis","Uhrichsville, OH","2024-01-14","Fresno","United States","Economist","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/senior-developer-ai-at-cincinnati-children-s-3604456707","AI, Imagebased AI models, PACS, RIS, MERGE, EPIC, AI model monitoring framework, Unit tests, Integration tests, Clinical translation, AI inference pipelines, Performance bottlenecks, CI/CD pipeline, MLOps tools, Software development, Business analysis, Testing, Support, Collaboration, Requirements gathering, Data access, Technical support, Problemsolving, Documentation, Planning, Mentoring, Interviewing, Bachelor's degree, Work experience, Medical imaging, Healthcare enterprise","https://www.linkedin.com/jobs/view/senior-developer-ai-at-cincinnati-children-s-3604456707","2024-01-21 07:19:54.864254+00","t","t","f","Senior Developer, AI","Cincinnati Children's","Cincinnati, OH","2024-01-14","Norwood","United States","Agricultural-Research Engineer","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/statistician-at-ann-robert-h-lurie-children-s-hospital-of-chicago-3798221236","Information Technology, Healthcare Administration, Nursing, Social Sciences, Analytics, Project Management Institute (PMI), Agile, Scrum, Epic, Cogito, Fiscal Management, Healthcare Operations, Research, Interpersonal Communication, Interdisciplinary Communication, Group Process, Negotiation, Change Management, Conflict Resolution, Facilitation, Effective Listening, Written and Verbal Delivery, Business Analysis, Credibility Building, Analytical Thinking, Problem Solving, Planning, Program Development, Decision Making, Outcome Evaluation, Academic Medical Center, Data Governance, Data Development, Risk Mitigation, Quality Control Review, Budgeting, Resource Management, Consultation, MultiDisciplinary Teams, Project Procedures, Issue Resolution, Conflict Management, TeamFocused Culture, Partnership Building, Support Cohesion","https://www.linkedin.com/jobs/view/statistician-at-ann-robert-h-lurie-children-s-hospital-of-chicago-3798221236","2024-01-21 07:20:10.605162+00","t","t","f","Statistician","Ann & Robert H. Lurie Children's Hospital of Chicago","Streeterville, IL","2024-01-15","Calumet City","United States","Data Communications Technician","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/business-process-analyst-director-at-db-a-dewolff-boberg-associates-inc-3040415464","Problemsolving, Statistical analysis, Team management, Financial knowledge, Data analysis, Process improvement, Consulting, Presentation skills, Business acumen, Leadership, Excel, MS Office Suite, Data management, Pivot tables, Graphing, Abstract reasoning, Project management, Business analysis, Communication, Time management, Microsoft Office","https://www.linkedin.com/jobs/view/business-process-analyst-director-at-db-a-dewolff-boberg-associates-inc-3040415464","2024-01-21 07:43:50.397527+00","t","t","f","Business Process Analyst Director","DB&A - DeWolff, Boberg & Associates, Inc","Columbus, GA","2024-01-14","Phenix City","United States","Economist","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/senior-financial-analyst-at-forest-lawn-memorial-parks-and-mortuaries-3766474296","Accounting, Finance, Project Management, Data Analysis, Financial Planning, Budgeting, Data Visualization, Financial Reporting, Business Analysis, Problem Solving, Decision Making, Communication, Teamwork, SQL, Microsoft Office Suite, PowerPivot, PowerQuery, Power BI, Tableau, NetSuite, Salesforce, ERP, Bachelors in Finance or Accounting, CPA, Driver's License, Experience in Accounting or Finance, Data Analysis Skills","https://www.linkedin.com/jobs/view/senior-financial-analyst-at-forest-lawn-memorial-parks-and-mortuaries-3766474296","2024-01-20 17:09:19.464372+00","t","t","f","Senior Financial Analyst","Forest Lawn Memorial Parks and Mortuaries","Glendale, CA","2024-01-15","El Monte","United States","Chief Bank Examiner","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/platform-eng-senior-at-republic-national-distributing-company-3803180522","Agile Development, Software Architecture Design, Software Development, Project Management, Business Analysis, Technical Writing, Testing, Implementation, Problem Solving, Teamwork, Communication, Technology Awareness, Bachelor's in Information Systems Computer Science or Engineering, WSET Certifications, Previous Experience in Wine and Spirits Industry","https://www.linkedin.com/jobs/view/platform-eng-senior-at-republic-national-distributing-company-3803180522","2024-01-19 12:15:51.280759+00","t","t","f","Platform Eng - Senior","Republic National Distributing Company","Atlanta, GA","2024-01-14","Atlanta","United States","Value Engineer","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/senior-business-analyst-business-underwriting-loss-mitigation-at-capital-one-3774773894","Business Analysis, Analytical skills, Strategic thinking, Problem solving, Modeling, Analytics, Market Research, SQL, Consulting, Statistics, Engineering, Finance, Economics, Mathematics, Science, Credit Risk, Leadership, Communication, Problem solving, Business Judgment, Quantitative Analysis, Statistical Modeling, Market Research, SQL Querying, Business Analysis, Consulting","https://www.linkedin.com/jobs/view/senior-business-analyst-business-underwriting-loss-mitigation-at-capital-one-3774773894","2024-01-21 04:07:58.776216+00","t","t","f","Senior Business Analyst - Business Underwriting & Loss Mitigation","Capital One","Plano, TX","2024-01-15","Garland","United States","Color Maker","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/business-systems-analyst-at-dice-3805517589","Business analysis, Business requirements gathering, Analytical thinking, Critical thinking, Problemsolving, Verbal communication, Written communication, IT technologies, Software, Data analysis, Medicaid, Health Plan, Project management, Stakeholder management, Requirements gathering, Testing, Troubleshooting, Workshops, Large data sets, Process improvement, System implementation","https://www.linkedin.com/jobs/view/business-systems-analyst-at-dice-3805517589","2024-01-21 07:20:38.366319+00","t","t","f","Business Systems Analyst","Dice","Raleigh, NC","2024-01-14","Raleigh","United States","Systems Analyst","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/jde-business-analyst-supply-chain-at-laticrete-international-3793421130","JDE Edwards, Supply Chain Management, ERP Implementation, Business Analysis, Data Analysis, SQL, VLookups, Functional Design, UXone UDO, BIP Output, Unit and Integration Testing, Migration, Integration, AS IS Analysis, Mapping, Setups, User Training, Testing, Data Loading, Menus and Versions, Report Specifications, Documentation, Analytical Skills, Design Skills, Technical Skills, ProblemSolving Skills, Solution Proposal, Negotiation Skills, ERP Systems, Database User Interface, Database Management Systems, MultiTasking, Independent work, Teamwork, Agile, Flexible, Hybrid/Remote Work, Extended Hours, US EST Time Zone","https://www.linkedin.com/jobs/view/jde-business-analyst-supply-chain-at-laticrete-international-3793421130","2024-01-21 07:44:10.890116+00","t","t","f","JDE Business Analyst (Supply Chain)","LATICRETE International","Oklahoma City Metropolitan Area","2024-01-14","Arcadia","United States","Consultant Education","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/business-analyst-ii-at-gesa-credit-union-3802812080","Business Analysis, Requirements Gathering, Requirements Management, Agile Scrum/Kanban, Project Management, Problem Solving, Analytical Skills, Quantitative Analysis, Information Sourcing, SDLC, Azure Dev Ops, Jira/Confluence, Rally, Microsoft Office 365, Visio, Lucidchart, Tableau, PowerBI, CBAP, PMIPBA, Business/Technical Analysis, Technical Project Management, Process Flow Diagraming, Engineering Diagramming","https://www.linkedin.com/jobs/view/business-analyst-ii-at-gesa-credit-union-3802812080","2024-01-20 02:54:49.250651+00","t","t","f","Business Analyst II","Gesa Credit Union","Richland, WA","2024-01-14","Kennewick","United States","Economist","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/it-systems-analyst-specialist-at-allianz-technology-3733472619","Technical Aptitude, Project Management, Conceptual Design, Business Analysis, Solution Architecture, SDLC Processes, Requirements Gathering, System Design, Configuration Management, Data Integration, System Testing, Quality Assurance, IT Capability Assessment, Logging and Monitoring, C# Development, Document Management System, OnBase, Analytic Skills","https://www.linkedin.com/jobs/view/it-systems-analyst-specialist-at-allianz-technology-3733472619","2024-01-21 07:44:42.493108+00","t","t","f","IT Systems Analyst Specialist","Allianz Technology","Minneapolis, MN","2024-01-14","Minneapolis","United States","Systems Analyst","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/senior-business-analyst-at-elevance-health-3799248706","Business analysis, Requirement elicitation, Documentation, SDLC, Agile methodologies, User stories, Acceptance criteria, Risk management, Time management, Prioritization, Jira, PBM, Healthcare industry knowledge, Agile documents, UAT templates, Process redesign, Project management, Budgeting, Fastpaced environment","https://www.linkedin.com/jobs/view/senior-business-analyst-at-elevance-health-3799248706","2024-01-21 13:09:44.689761+00","t","t","f","Senior Business Analyst","Elevance Health","Indianapolis, IN","2024-01-13","Plainfield","United States","Quality Assurance Analyst","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/business-analyst-at-vsg-business-solutions-3793578058","Business Analysis, Change Management, Stakeholder Engagement, Project Management, Communication, Training Delivery, Progress Monitoring, Feedback Gathering, Technology Needs Assessment, System Analysis, Technology Implementation, Technology Integration, Data Analysis, Academic Outcomes Measurement","https://www.linkedin.com/jobs/view/business-analyst-at-vsg-business-solutions-3793578058","2024-01-21 13:11:19.356917+00","t","t","f","Business Analyst","VSG Business Solutions","New York, NY","2024-01-13","Levittown","United States","Quality Assurance Analyst","Mid senior","Onsite"
